Year,Cohort,Sex,Drivers
1968,23,Female,1061
1968,24,Male,1353
1968,24,Female,1079
1968,20-24,Male,7282
1968,20-24,Female,5764
1968,25-29,Male,6569
1968,25-29,Female,5155
1968,30-34,Male,5829
1968,30-34,Female,4622
1968,35-39,Male,5846
1968,35-39,Female,4717
1968,40-44,Male,6014
1968,40-44,Female,4789
1968,45-49,Male,5715
1968,45-49,Female,4329
1968,50-54,Male,5053
1968,50-54,Female,3612
1968,55-59,Male,4381
1968,55-59,Female,2909
1968,60-64,Male,3513
1968,60-64,Female,2097
1968,65-69,Male,2538
1968,65-69,Female,1327
1968,70-74,Male,
1968,70-74,Female,
1968,75-79,Male,
1968,75-79,Female,
1968,80-84,Male,
1968,80-84,Female,
1968,85 and Older,Male,
1968,85 and Older,Female,
1969,Under 16,Male,92
1969,Under 16,Female,60
1969,16,Male,854
1969,16,Female,589
1969,17,Male,1411
1969,17,Female,990
1969,18,Male,1544
1969,18,Female,1133
1969,19,Male,1565
1969,19,Female,1173
1969,19 and Under,Male,5466
1969,19 and Under,Female,3945
1969,20,Male,1505
1969,20,Female,1191
1969,21,Male,1592
1969,21,Female,1293
1969,22,Male,1629
1969,22,Female,1332
1969,23,Male,1532
1969,23,Female,1242
1969,24,Male,1378
1969,24,Female,1107
1969,20-24,Male,7636
1969,20-24,Female,6165
1969,25-29,Male,6686
1969,25-29,Female,5309
1969,30-34,Male,5892
1969,30-34,Female,4748
1969,35-39,Male,5810
1969,35-39,Female,4763
1969,40-44,Male,5968
1969,40-44,Female,4809
1969,45-49,Male,5769
1969,45-49,Female,4475
1969,50-54,Male,5085
1969,50-54,Female,3744
1969,55-59,Male,4485
1969,55-59,Female,3053
1969,60-64,Male,3594
1969,60-64,Female,2227
1969,65-69,Male,2636
1969,65-69,Female,1439
1969,70-74,Male,
1969,70-74,Female,
1969,75-79,Male,
1969,75-79,Female,
1969,80-84,Male,
1969,80-84,Female,
1969,85 and Older,Male,
1969,85 and Older,Female,
1970,Under 16,Male,84
1970,Under 16,Female,62
1970,16,Male,859
1970,16,Female,615
1970,17,Male,1438
1970,17,Female,1056
1970,18,Male,1600
1970,18,Female,1219
1970,19,Male,1647
1970,19,Female,1284
1970,19 and Under,Male,5628
1970,19 and Under,Female,4236
1970,20,Male,1558
1970,20,Female,1250
1970,21,Male,1613
1970,21,Female,1345
1970,22,Male,1649
1970,22,Female,1378
1970,23,Male,1728
1970,23,Female,1435
1970,24,Male,1535
1970,24,Female,1266
1970,20-24,Male,8083
1970,20-24,Female,6674
1970,25-29,Male,7000
1970,25-29,Female,5769
1970,30-34,Male,5880
1970,30-34,Female,4909
1970,35-39,Male,5675
1970,35-39,Female,4749
1970,40-44,Male,5834
1970,40-44,Female,4802
1970,45-49,Male,5788
1970,45-49,Female,4643
1970,50-54,Male,5150
1970,50-54,Female,3916
1970,55-59,Male,4546
1970,55-59,Female,3210
1970,60-64,Male,3692
1970,60-64,Female,2399
1970,65-69,Male,2685
1970,65-69,Female,1541
1970,70-74,Male,
1970,70-74,Female,
1970,75-79,Male,
1970,75-79,Female,
1970,80-84,Male,
1970,80-84,Female,
1970,85 and Older,Male,
1970,85 and Older,Female,
1971,Under 16,Male,90
1971,Under 16,Female,66
1971,16,Male,834
1971,16,Female,618
1971,17,Male,1426
1971,17,Female,1084
1971,18,Male,1583
1971,18,Female,1236
1971,19,Male,1645
1971,19,Female,1308
1971,19 and Under,Male,5579
1971,19 and Under,Female,4312
1971,20,Male,1612
1971,20,Female,1327
1971,21,Male,1615
1971,21,Female,1344
1971,22,Male,1659
1971,22,Female,1394
1971,23,Male,1718
1971,23,Female,1428
1971,24,Male,1731
1971,24,Female,1439
1971,20-24,Male,8335
1971,20-24,Female,6932
1971,25-29,Male,7180
1971,25-29,Female,5993
1971,30-34,Male,5924
1971,30-34,Female,5003
1971,35-39,Male,5493
1971,35-39,Female,4657
1971,40-44,Male,5663
1971,40-44,Female,4720
1971,45-49,Male,5674
1971,45-49,Female,4644
1971,50-54,Male,5219
1971,50-54,Female,4095
1971,55-59,Male,4604
1971,55-59,Female,3395
1971,60-64,Male,3831
1971,60-64,Female,2654
1971,65-69,Male,2931
1971,65-69,Female,1820
1971,70-74,Male,
1971,70-74,Female,
1971,75-79,Male,
1971,75-79,Female,
1971,80-84,Male,
1971,80-84,Female,
1971,85 and Older,Male,
1971,85 and Older,Female,
1972,Under 16,Male,84
1972,Under 16,Female,56
1972,16,Male,870
1972,16,Female,660
1972,17,Male,1465
1972,17,Female,1130
1972,18,Male,1679
1972,18,Female,1329
1972,19,Male,1716
1972,19,Female,1388
1972,19 and Under,Male,5814
1972,19 and Under,Female,4563
1972,20,Male,1705
1972,20,Female,1423
1972,21,Male,1702
1972,21,Female,1444
1972,22,Male,1696
1972,22,Female,1450
1972,23,Male,1747
1972,23,Female,1494
1972,24,Male,1727
1972,24,Female,1473
1972,20-24,Male,8577
1972,20-24,Female,7284
1972,25-29,Male,7615
1972,25-29,Female,6458
1972,30-34,Male,6273
1972,30-34,Female,5384
1972,35-39,Male,5590
1972,35-39,Female,4803
1972,40-44,Male,5683
1972,40-44,Female,4802
1972,45-49,Male,5757
1972,45-49,Female,4783
1972,50-54,Male,5348
1972,50-54,Female,4261
1972,55-59,Male,4669
1972,55-59,Female,3506
1972,60-64,Male,3899
1972,60-64,Female,2753
1972,65-69,Male,2967
1972,65-69,Female,1893
1972,70-74,Male,
1972,70-74,Female,
1972,75-79,Male,
1972,75-79,Female,
1972,80-84,Male,
1972,80-84,Female,
1972,85 and Older,Male,
1972,85 and Older,Female,
1973,Under 16,Male,90
1973,Under 16,Female,61
1973,16,Male,1031
1973,16,Female,788
1973,17,Male,1545
1973,17,Female,1220
1973,18,Male,1664
1973,18,Female,1332
1973,19,Male,1743
1973,19,Female,1427
1973,19 and Under,Male,6073
1973,19 and Under,Female,4828
1973,20,Male,1724
1973,20,Female,1457
1973,21,Male,1730
1973,21,Female,1497
1973,22,Male,1756
1973,22,Female,1528
1973,23,Male,1747
1973,23,Female,1505
1973,24,Male,1708
1973,24,Female,1479
1973,20-24,Male,8665
1973,20-24,Female,7466
1973,25-29,Male,7905
1973,25-29,Female,6891
1973,30-34,Male,6541
1973,30-34,Female,5744
1973,35-39,Male,5623
1973,35-39,Female,4932
1973,40-44,Male,5591
1973,40-44,Female,4806
1973,45-49,Male,5680
1973,45-49,Female,4796
1973,50-54,Male,5403
1973,50-54,Female,4401
1973,55-59,Male,4679
1973,55-59,Female,3631
1973,60-64,Male,3976
1973,60-64,Female,2894
1973,65-69,Male,3059
1973,65-69,Female,2006
1973,70-74,Male,
1973,70-74,Female,
1973,75-79,Male,
1973,75-79,Female,
1973,80-84,Male,
1973,80-84,Female,
1973,85 and Older,Male,
1973,85 and Older,Female,
1974,Under 16,Male,78
1974,Under 16,Female,60
1974,16,Male,1009
1974,16,Female,801
1974,17,Male,1590
1974,17,Female,1269
1974,18,Male,1761
1974,18,Female,1443
1974,19,Male,1822
1974,19,Female,1523
1974,19 and Under,Male,6260
1974,19 and Under,Female,5096
1974,20,Male,1810
1974,20,Female,1550
1974,21,Male,1807
1974,21,Female,1576
1974,22,Male,1812
1974,22,Female,1597
1974,23,Male,1800
1974,23,Female,1584
1974,24,Male,1752
1974,24,Female,1542
1974,20-24,Male,8981
1974,20-24,Female,7849
1974,25-29,Male,8341
1974,25-29,Female,7424
1974,30-34,Male,6789
1974,30-34,Female,6083
1974,35-39,Male,5669
1974,35-39,Female,5068
1974,40-44,Male,5490
1974,40-44,Female,4782
1974,45-49,Male,5570
1974,45-49,Female,4787
1974,50-54,Male,5471
1974,50-54,Female,4572
1974,55-59,Male,4717
1974,55-59,Female,3757
1974,60-64,Male,4047
1974,60-64,Female,3037
1974,65-69,Male,3105
1974,65-69,Female,2140
1974,70-74,Male,
1974,70-74,Female,
1974,75-79,Male,
1974,75-79,Female,
1974,80-84,Male,
1974,80-84,Female,
1974,85 and Older,Male,
1974,85 and Older,Female,
1975,Under 16,Male,70
1975,Under 16,Female,53
1975,16,Male,1042
1975,16,Female,835
1975,17,Male,1601
1975,17,Female,1288
1975,18,Male,1816
1975,18,Female,1501
1975,19,Male,1890
1975,19,Female,1599
1975,19 and Under,Male,6419
1975,19 and Under,Female,5276
1975,20,Male,1878
1975,20,Female,1618
1975,21,Male,1875
1975,21,Female,1651
1975,22,Male,1872
1975,22,Female,1662
1975,23,Male,1876
1975,23,Female,1674
1975,24,Male,1866
1975,24,Female,1661
1975,20-24,Male,9367
1975,20-24,Female,8266
1975,25-29,Male,8824
1975,25-29,Female,7912
1975,30-34,Male,7014
1975,30-34,Female,6313
1975,35-39,Male,5822
1975,35-39,Female,5234
1975,40-44,Male,5444
1975,40-44,Female,4788
1975,45-49,Male,5569
1975,45-49,Female,4809
1975,50-54,Male,5508
1975,50-54,Female,4684
1975,55-59,Male,4858
1975,55-59,Female,3967
1975,60-64,Male,4158
1975,60-64,Female,3214
1975,65-69,Male,3255
1975,65-69,Female,2354
1975,70-74,Male,
1975,70-74,Female,
1975,75-79,Male,
1975,75-79,Female,
1975,80-84,Male,
1975,80-84,Female,
1975,85 and Older,Male,
1975,85 and Older,Female,
1976,Under 16,Male,71
1976,Under 16,Female,55
1976,16,Male,1059
1976,16,Female,846
1976,17,Male,1616
1976,17,Female,1310
1976,18,Male,1815
1976,18,Female,1502
1976,19,Male,1939
1976,19,Female,1639
1976,19 and Under,Male,6500
1976,19 and Under,Female,5352
1976,20,Male,1937
1976,20,Female,1676
1976,21,Male,1917
1976,21,Female,1680
1976,22,Male,1943
1976,22,Female,1721
1976,23,Male,1920
1976,23,Female,1709
1976,24,Male,1929
1976,24,Female,1723
1976,20-24,Male,9646
1976,20-24,Female,8509
1976,25-29,Male,9195
1976,25-29,Female,8272
1976,30-34,Male,7529
1976,30-34,Female,6804
1976,35-39,Male,6104
1976,35-39,Female,5514
1976,40-44,Male,5503
1976,40-44,Female,4876
1976,45-49,Male,5546
1976,45-49,Female,4824
1976,50-54,Male,5463
1976,50-54,Female,4706
1976,55-59,Male,4993
1976,55-59,Female,4145
1976,60-64,Male,4208
1976,60-64,Female,3328
1976,65-69,Male,3363
1976,65-69,Female,2477
1976,70-74,Male,
1976,70-74,Female,
1976,75-79,Male,
1976,75-79,Female,
1976,80-84,Male,
1976,80-84,Female,
1976,85 and Older,Male,
1976,85 and Older,Female,
1977,Under 16,Male,82
1977,Under 16,Female,63
1977,16,Male,1018
1977,16,Female,821
1977,17,Male,1618
1977,17,Female,1312
1977,18,Male,1829
1977,18,Female,1521
1977,19,Male,1940
1977,19,Female,1643
1977,19 and Under,Male,6487
1977,19 and Under,Female,5360
1977,20,Male,1980
1977,20,Female,1718
1977,21,Male,1981
1977,21,Female,1749
1977,22,Male,1986
1977,22,Female,1758
1977,23,Male,1994
1977,23,Female,1781
1977,24,Male,1973
1977,24,Female,1766
1977,20-24,Male,9914
1977,20-24,Female,8772
1977,25-29,Male,9429
1977,25-29,Female,8454
1977,30-34,Male,8023
1977,30-34,Female,7282
1977,35-39,Male,6471
1977,35-39,Female,5882
1977,40-44,Male,5592
1977,40-44,Female,4976
1977,45-49,Male,5533
1977,45-49,Female,4843
1977,50-54,Male,5500
1977,50-54,Female,4782
1977,55-59,Male,5112
1977,55-59,Female,4300
1977,60-64,Male,4278
1977,60-64,Female,3440
1977,65-69,Male,3434
1977,65-69,Female,2616
1977,70-74,Male,
1977,70-74,Female,
1977,75-79,Male,
1977,75-79,Female,
1977,80-84,Male,
1977,80-84,Female,
1977,85 and Older,Male,
1977,85 and Older,Female,
1978,Under 16,Male,90
1978,Under 16,Female,73
1978,16,Male,1056
1978,16,Female,854
1978,17,Male,1627
1978,17,Female,1327
1978,18,Male,1828
1978,18,Female,1524
1978,19,Male,1946
1978,19,Female,1664
1978,19 and Under,Male,6547
1978,19 and Under,Female,5442
1978,20,Male,1943
1978,20,Female,1699
1978,21,Male,2000
1978,21,Female,1779
1978,22,Male,2013
1978,22,Female,1801
1978,23,Male,2001
1978,23,Female,1798
1978,24,Male,2000
1978,24,Female,1804
1978,20-24,Male,9957
1978,20-24,Female,8881
1978,25-29,Male,9531
1978,25-29,Female,8611
1978,30-34,Male,8295
1978,30-34,Female,7579
1978,35-39,Male,6721
1978,35-39,Female,6160
1978,40-44,Male,5679
1978,40-44,Female,5086
1978,45-49,Male,5451
1978,45-49,Female,4808
1978,50-54,Male,5495
1978,50-54,Female,4804
1978,55-59,Male,5157
1978,55-59,Female,4395
1978,60-64,Male,4356
1978,60-64,Female,3575
1978,65-69,Male,3502
1978,65-69,Female,2720
1978,70-74,Male,
1978,70-74,Female,
1978,75-79,Male,
1978,75-79,Female,
1978,80-84,Male,
1978,80-84,Female,
1978,85 and Older,Male,
1978,85 and Older,Female,
1979,Under 16,Male,74
1979,Under 16,Female,58
1979,16,Male,1054
1979,16,Female,852
1979,17,Male,1577
1979,17,Female,1296
1979,18,Male,1824
1979,18,Female,1528
1979,19,Male,1942
1979,19,Female,1664
1979,19 and Under,Male,6471
1979,19 and Under,Female,5399
1979,20,Male,1938
1979,20,Female,1709
1979,21,Male,1971
1979,21,Female,1762
1979,22,Male,2041
1979,22,Female,1838
1979,23,Male,2034
1979,23,Female,1844
1979,24,Male,2025
1979,24,Female,1829
1979,20-24,Male,10009
1979,20-24,Female,8982
1979,25-29,Male,9733
1979,25-29,Female,8874
1979,30-34,Male,8631
1979,30-34,Female,7945
1979,35-39,Male,6911
1979,35-39,Female,6383
1979,40-44,Male,5729
1979,40-44,Female,5174
1979,45-49,Male,5394
1979,45-49,Female,4786
1979,50-54,Male,5432
1979,50-54,Female,4775
1979,55-59,Male,5210
1979,55-59,Female,4507
1979,60-64,Male,4373
1979,60-64,Female,3659
1979,65-69,Male,3584
1979,65-69,Female,2834
1979,70-74,Male,
1979,70-74,Female,
1979,75-79,Male,
1979,75-79,Female,
1979,80-84,Male,
1979,80-84,Female,
1979,85 and Older,Male,
1979,85 and Older,Female,
1980,Under 16,Male,52
1980,Under 16,Female,41
1980,16,Male,1001
1980,16,Female,822
1980,17,Male,1530
1980,17,Female,1260
1980,18,Male,1763
1980,18,Female,1484
1980,19,Male,1900
1980,19,Female,1643
1980,19 and Under,Male,6246
1980,19 and Under,Female,5249
1980,20,Male,1930
1980,20,Female,1706
1980,21,Male,1961
1980,21,Female,1772
1980,22,Male,1998
1980,22,Female,1813
1980,23,Male,2062
1980,23,Female,1876
1980,24,Male,2047
1980,24,Female,1868
1980,20-24,Male,9998
1980,20-24,Female,9034
1980,25-29,Male,9865
1980,25-29,Female,9060
1980,30-34,Male,9010
1980,30-34,Female,8359
1980,35-39,Male,7113
1980,35-39,Female,6583
1980,40-44,Male,5828
1980,40-44,Female,5306
1980,45-49,Male,5311
1980,45-49,Female,4765
1980,50-54,Male,5351
1980,50-54,Female,4739
1980,55-59,Male,5198
1980,55-59,Female,4572
1980,60-64,Male,4439
1980,60-64,Female,3793
1980,65-69,Male,3631
1980,65-69,Female,2949
1980,70-74,Male,
1980,70-74,Female,
1980,75-79,Male,
1980,75-79,Female,
1980,80-84,Male,
1980,80-84,Female,
1980,85 and Older,Male,
1980,85 and Older,Female,
1981,Under 16,Male,57
1981,Under 16,Female,45
1981,16,Male,937
1981,16,Female,769
1981,17,Male,1484
1981,17,Female,1231
1981,18,Male,1732
1981,18,Female,1460
1981,19,Male,1880
1981,19,Female,1620
1981,19 and Under,Male,6090
1981,19 and Under,Female,5125
1981,20,Male,1924
1981,20,Female,1700
1981,21,Male,1980
1981,21,Female,1774
1981,22,Male,2008
1981,22,Female,1819
1981,23,Male,2044
1981,23,Female,1853
1981,24,Male,2070
1981,24,Female,1885
1981,20-24,Male,10025
1981,20-24,Female,9030
1981,25-29,Male,10024
1981,25-29,Female,9190
1981,30-34,Male,9131
1981,30-34,Female,8488
1981,35-39,Male,7453
1981,35-39,Female,6925
1981,40-44,Male,5959
1981,40-44,Female,5464
1981,45-49,Male,5321
1981,45-49,Female,4805
1981,50-54,Male,5299
1981,50-54,Female,4719
1981,55-59,Male,5160
1981,55-59,Female,4590
1981,60-64,Male,4533
1981,60-64,Female,3930
1981,65-69,Male,3666
1981,65-69,Female,3055
1981,70-74,Male,
1981,70-74,Female,
1981,75-79,Male,
1981,75-79,Female,
1981,80-84,Male,
1981,80-84,Female,
1981,85 and Older,Male,
1981,85 and Older,Female,
1982,Under 16,Male,69
1982,Under 16,Female,54
1982,16,Male,890
1982,16,Female,753
1982,17,Male,1364
1982,17,Female,1170
1982,18,Male,1681
1982,18,Female,1462
1982,19,Male,1888
1982,19,Female,1658
1982,19 and Under,Male,5891
1982,19 and Under,Female,5097
1982,20,Male,1906
1982,20,Female,1715
1982,21,Male,2015
1982,21,Female,1833
1982,22,Male,2064
1982,22,Female,1890
1982,23,Male,2081
1982,23,Female,1918
1982,24,Male,2074
1982,24,Female,1916
1982,20-24,Male,10139
1982,20-24,Female,9272
1982,25-29,Male,10158
1982,25-29,Female,9492
1982,30-34,Male,9192
1982,30-34,Female,8702
1982,35-39,Male,7715
1982,35-39,Female,7317
1982,40-44,Male,6096
1982,40-44,Female,5733
1982,45-49,Male,5238
1982,45-49,Female,4842
1982,50-54,Male,5197
1982,50-54,Female,4736
1982,55-59,Male,5148
1982,55-59,Female,4706
1982,60-64,Male,4623
1982,60-64,Female,4148
1982,65-69,Male,3662
1982,65-69,Female,3291
1982,70-74,Male,
1982,70-74,Female,
1982,75-79,Male,
1982,75-79,Female,
1982,80-84,Male,
1982,80-84,Female,
1982,85 and Older,Male,
1982,85 and Older,Female,
1983,Under 16,Male,71
1983,Under 16,Female,55
1983,16,Male,916
1983,16,Female,772
1983,17,Male,1404
1983,17,Female,1200
1983,18,Male,1731
1983,18,Female,1500
1983,19,Male,1944
1983,19,Female,1700
1983,19 and Under,Male,6066
1983,19 and Under,Female,5227
1983,20,Male,1963
1983,20,Female,1759
1983,21,Male,2075
1983,21,Female,1879
1983,22,Male,2125
1983,22,Female,1938
1983,23,Male,2144
1983,23,Female,1966
1983,24,Male,2135
1983,24,Female,1964
1983,20-24,Male,10442
1983,20-24,Female,9506
1983,25-29,Male,10463
1983,25-29,Female,9735
1983,30-34,Male,9468
1983,30-34,Female,8923
1983,35-39,Male,7946
1983,35-39,Female,7503
1983,40-44,Male,6279
1983,40-44,Female,5878
1983,45-49,Male,5394
1983,45-49,Female,4964
1983,50-54,Male,5352
1983,50-54,Female,4855
1983,55-59,Male,5301
1983,55-59,Female,4825
1983,60-64,Male,4759
1983,60-64,Female,4252
1983,65-69,Male,3770
1983,65-69,Female,3374
1983,70-74,Male,
1983,70-74,Female,
1983,75-79,Male,
1983,75-79,Female,
1983,80-84,Male,
1983,80-84,Female,
1983,85 and Older,Male,
1983,85 and Older,Female,
1984,Under 16,Male,61
1984,Under 16,Female,49
1984,16,Male,913
1984,16,Female,766
1984,17,Male,1290
1984,17,Female,1109
1984,18,Male,1515
1984,18,Female,1308
1984,19,Male,1706
1984,19,Female,1490
1984,19 and Under,Male,5485
1984,19 and Under,Female,4722
1984,20,Male,1836
1984,20,Female,1645
1984,21,Male,1938
1984,21,Female,1750
1984,22,Male,2009
1984,22,Female,1835
1984,23,Male,2087
1984,23,Female,1922
1984,24,Male,2101
1984,24,Female,1939
1984,20-24,Male,9971
1984,20-24,Female,9090
1984,25-29,Male,10478
1984,25-29,Female,9811
1984,30-34,Male,9646
1984,30-34,Female,9152
1984,35-39,Male,8470
1984,35-39,Female,8083
1984,40-44,Male,6678
1984,40-44,Female,6320
1984,45-49,Male,5450
1984,45-49,Female,5095
1984,50-54,Male,5083
1984,50-54,Female,4689
1984,55-59,Male,5157
1984,55-59,Female,4709
1984,60-64,Male,4721
1984,60-64,Female,4384
1984,65-69,Male,3851
1984,65-69,Female,3453
1984,70-74,Male,
1984,70-74,Female,
1984,75-79,Male,
1984,75-79,Female,
1984,80-84,Male,
1984,80-84,Female,
1984,85 and Older,Male,
1984,85 and Older,Female,
1985,Under 16,Male,55
1985,Under 16,Female,45
1985,16,Male,886
1985,16,Female,749
1985,17,Male,1280
1985,17,Female,1100
1985,18,Male,1491
1985,18,Female,1288
1985,19,Male,1663
1985,19,Female,1455
1985,19 and Under,Male,5375
1985,19 and Under,Female,4636
1985,20,Male,1764
1985,20,Female,1582
1985,21,Male,1909
1985,21,Female,1727
1985,22,Male,1982
1985,22,Female,1811
1985,23,Male,2060
1985,23,Female,1893
1985,24,Male,2079
1985,24,Female,1926
1985,20-24,Male,9794
1985,20-24,Female,8939
1985,25-29,Male,10566
1985,25-29,Female,9887
1985,30-34,Male,9770
1985,30-34,Female,9278
1985,35-39,Male,8711
1985,35-39,Female,8327
1985,40-44,Male,6808
1985,40-44,Female,6461
1985,45-49,Male,5543
1985,45-49,Female,5200
1985,50-54,Male,5101
1985,50-54,Female,4724
1985,55-59,Male,5177
1985,55-59,Female,4733
1985,60-64,Male,4751
1985,60-64,Female,4448
1985,65-69,Male,3917
1985,65-69,Female,3555
1985,70-74,Male,
1985,70-74,Female,
1985,75-79,Male,
1985,75-79,Female,
1985,80-84,Male,
1985,80-84,Female,
1985,85 and Older,Male,
1985,85 and Older,Female,
1986,Under 16,Male,52
1986,Under 16,Female,43
1986,16,Male,937
1986,16,Female,802
1986,17,Male,1284
1986,17,Female,1114
1986,18,Male,1454
1986,18,Female,1260
